t_s,x,y,cross_track_mm,linear_speed_mps,angular_cmd_rps,path_yaw,target_yaw,yaw_error_rad,lqr_mode,k1,k2,e_y_raw_mm,e_y_rate_limited_mm,e_y_filtered_mm,e_theta_rad,omega_ff,omega_fb,omega_i,omega_before_limits,nearest_idx,lookahead_idx
0.278073,-0.581985,3.028388,-1.478143,0.012500,-0.003286,-1.484936,-1.476744,-0.001988,1.000000,4.800000,0.950000,-1.478143,-1.478143,-1.330329,0.010180,0.000000,-0.003286,0.000000,-0.003286,0,59
0.333675,-0.581980,3.028390,-1.472811,0.021875,-0.003286,-1.484936,-1.476773,-0.002013,1.000000,4.800000,0.950000,-1.472811,-1.472811,-1.458563,0.010176,0.000000,-0.002666,0.000000,-0.003286,0,60
0.389245,-0.581979,3.028289,-1.481126,0.028906,-0.002910,-1.484936,-1.476857,-0.002096,1.000000,4.800000,0.950000,-1.481126,-1.481126,-1.478870,0.010175,0.000000,-0.002567,0.000000,-0.002910,0,60
0.444786,-0.581984,3.028397,-1.476214,0.034180,-0.002626,-1.484936,-1.476888,-0.001943,1.000000,4.800000,0.950000,-1.476214,-1.476214,-1.476479,0.009990,0.000000,-0.002403,0.000000,-0.002626,0,60
0.500386,-0.581980,3.028272,-1.483413,0.038135,-0.002433,-1.484936,-1.476844,-0.001526,1.000000,4.800000,0.950000,-1.483413,-1.483413,-1.482719,0.009618,0.000000,-0.002020,0.000000,-0.002433,0,60
0.556077,-0.582008,3.028109,-1.525348,0.041101,-0.002142,-1.484936,-1.476608,-0.001047,1.000000,4.800000,0.950000,-1.525348,-1.525348,-1.521085,0.009375,0.000000,-0.001605,0.000000,-0.002142,0,60
0.611349,-0.581914,3.028317,-1.413172,0.043326,-0.001759,-1.484936,-1.477228,-0.002018,1.000000,4.800000,0.950000,-1.413172,-1.413172,-1.423963,0.009725,0.000000,-0.002404,0.000000,-0.001759,0,60
0.667027,-0.581744,3.027262,-1.334654,0.044994,-0.002069,-1.484936,-1.477614,-0.003538,1.000000,4.800000,0.950000,-1.334654,-1.334654,-1.343585,0.010859,0.000000,-0.003867,0.000000,-0.002069,0,60
0.722526,-0.581548,3.025137,-1.321858,0.046246,-0.003221,-1.484936,-1.477719,-0.003914,1.000000,4.800000,0.950000,-1.321858,-1.321858,-1.324031,0.011131,0.000000,-0.004219,0.000000,-0.003221,0,61
0.778241,-0.581433,3.022590,-1.425217,0.047184,-0.004063,-1.484936,-1.477174,-0.004737,1.000000,4.800000,0.950000,-1.425217,-1.425217,-1.415098,0.012499,0.000000,-0.005082,0.000000,-0.004063,1,62
0.833662,-0.581242,3.020857,-1.383571,0.047888,-0.004851,-1.484936,-1.477328,-0.005616,1.000000,4.800000,0.950000,-1.383571,-1.383571,-1.386724,0.013223,0.000000,-0.005906,0.000000,-0.004851,1,62
0.889185,-0.580983,3.018856,-1.297741,0.048416,-0.005649,-1.484936,-1.477838,-0.007194,1.000000,4.800000,0.950000,-1.297741,-1.297741,-1.306639,0.014291,0.000000,-0.007304,0.000000,-0.005649,2,63
0.944798,-0.580474,3.015623,-1.067861,0.048812,-0.006815,-1.484936,-1.479087,-0.009054,1.000000,4.800000,0.950000,-1.067861,-1.067861,-1.091739,0.014902,0.000000,-0.008917,0.000000,-0.006815,3,64
1.000365,-0.580034,3.011958,-0.942967,0.049109,-0.008326,-1.484936,-1.479752,-0.010016,1.000000,4.800000,0.950000,-0.942967,-0.942967,-0.957844,0.015200,0.000000,-0.009842,0.000000,-0.008326,4,65
1.055992,-0.579721,3.008945,-0.889910,0.049332,-0.009555,-1.484936,-1.480042,-0.010182,1.000000,4.800000,0.950000,-0.889910,-0.889910,-0.896703,0.015075,0.000000,-0.010018,0.000000,-0.009555,5,66
1.111486,-0.579531,3.006795,-0.885073,0.049499,-0.010086,-1.484936,-1.480091,-0.010303,1.000000,4.800000,0.950000,-0.885073,-0.885073,-0.886236,0.015147,0.000000,-0.010136,0.000000,-0.010086,6,67
1.166985,-0.579288,3.004113,-0.872758,0.049624,-0.010225,-1.484936,-1.480167,-0.011060,1.000000,4.800000,0.950000,-0.872758,-0.872758,-0.874106,0.015828,0.000000,-0.010841,0.000000,-0.010225,7,68
1.222454,-0.579117,3.001157,-0.955995,0.049718,-0.010625,-1.484936,-1.479713,-0.010954,1.000000,4.800000,0.950000,-0.955995,-0.955995,-0.947806,0.016176,0.000000,-0.010818,0.000000,-0.010625,8,69
